Session,Step,Content,Start time,Duration,TIMER,Date
9,3,,10:45 AM,0,105,1/2/2026
9,4,Break,10:45 AM,15,120,1/2/2026
9,5,,11:00 AM,0,120,1/2/2026
9,6,Professional mini-project - ctnd,11:00 AM,90,210,1/2/2026
9,7,,12:30 PM,0,210,1/2/2026
9,8,LUNCH,12:30 PM,60,270,1/2/2026
10,1,,1:30 PM,15,15,1/2/2026
10,2,Professional mini-project - ctnd,1:45 PM,90,105,1/2/2026
10,3,,3:15 PM,0,105,1/2/2026
10,4,Break,3:15 PM,15,120,1/2/2026
10,5,,3:30 PM,0,120,1/2/2026
10,6,Professional mini-project - ctnd,3:30 PM,90,210,1/2/2026
10,7,,5:00 PM,0,210,1/2/2026
10,8,,5:00 PM,60,270,1/2/2026
10,9,SESSION END,6:00 PM,0,270,1/2/2026
11,1,WELCOME,9:00 AM,15,15,1/9/2026
11,2,Professional mini-project - ctnd,9:15 AM,90,105,1/9/2026
11,3,,10:45 AM,0,105,1/9/2026
11,4,Break,10:45 AM,15,120,1/9/2026
11,5,,11:00 AM,0,120,1/9/2026
11,6,Professional mini-project - ctnd,11:00 AM,90,210,1/9/2026
11,7,,12:30 PM,0,210,1/9/2026
11,8,LUNCH,12:30 PM,60,270,1/9/2026
12,1,,1:30 PM,15,15,1/9/2026
12,2,Professional mini-project - ctnd,1:45 PM,90,105,1/9/2026
12,3,,3:15 PM,0,105,1/9/2026
12,4,Break,3:15 PM,15,120,1/9/2026
12,5,,3:30 PM,0,120,1/9/2026
12,6,DEMO OF  ADVANCED SE WITH CLAUDE,3:30 PM,60,180,1/9/2026
12,7,,4:30 PM,0,180,1/9/2026
12,8,TRAINING CLOSURE,4:30 PM,30,210,1/9/2026
12,9,TRAINING END,5:00 PM,0,210,1/9/2026
